"報名","日期","版次","系統代碼","標題","廣告主","分類","品牌","影像URL"
"社會日報","1940-09-14","4","583954","馳名全球　白濁專藥","德國戚爾鄧大藥房、上海柯爾登洋行","中西藥業  ","梅濁剋星  ","https://mhdb.mh.sinica.edu.tw/newsp/image.php?kind=%E7%A4%BE%E6%9C%83%E6%97%A5%E5%A0%B1&listNo=583954"
"社會日報","1940-09-14","4","583939","專治花柳生殖泌尿科","克倫醫院","中西藥業  ","克倫醫院  ","https://mhdb.mh.sinica.edu.tw/newsp/image.php?kind=%E7%A4%BE%E6%9C%83%E6%97%A5%E5%A0%B1&listNo=583939"
"社會日報","1940-09-14","2/3","583942","白濁專家醫師姚佐穎親自應診","姚佐穎","中西藥業  ","姚佐穎  ","https://mhdb.mh.sinica.edu.tw/newsp/image.php?kind=%E7%A4%BE%E6%9C%83%E6%97%A5%E5%A0%B1&listNo=583942"
"蘇州新報","1940-09-14","04","967872","滅疳寧驅除蛔蟲藥品廣告",,,,"https://mhdb.mh.sinica.edu.tw/newsp/image.php?kind=%E8%98%87%E5%B7%9E%E6%96%B0%E5%A0%B1&listNo=967872"
"蘇州新報","1940-09-14","06","967912","感謝採芝堂大藥房靈藥治癒白濁梅毒",,,,"https://mhdb.mh.sinica.edu.tw/newsp/image.php?kind=%E8%98%87%E5%B7%9E%E6%96%B0%E5%A0%B1&listNo=967912"
"蘇州新報","1940-09-14","03","967839","濕毒丹疥瘡藥品廣告",,,,"https://mhdb.mh.sinica.edu.tw/newsp/image.php?kind=%E8%98%87%E5%B7%9E%E6%96%B0%E5%A0%B1&listNo=967839"
"社會日報","1940-09-15","4","583975","馳名全球　白濁專藥","德國戚爾鄧大藥房、上海柯爾登洋行","中西藥業  ","梅濁剋星  ","https://mhdb.mh.sinica.edu.tw/newsp/image.php?kind=%E7%A4%BE%E6%9C%83%E6%97%A5%E5%A0%B1&listNo=583975"
"社會日報","1940-09-15","4","583956","負責包愈白濁","大生醫院","中西藥業  ","大生醫院  ","https://mhdb.mh.sinica.edu.tw/newsp/image.php?kind=%E7%A4%BE%E6%9C%83%E6%97%A5%E5%A0%B1&listNo=583956"
"社會日報","1940-09-15","2/3","583970","男用：專治男子白濁　女用：專治女子白帶","新星藥行","中西藥業  ","新樂的能  ","https://mhdb.mh.sinica.edu.tw/newsp/image.php?kind=%E7%A4%BE%E6%9C%83%E6%97%A5%E5%A0%B1&listNo=583970"
"社會日報","1940-09-15","2/3","583965","白濁專家醫師姚佐穎親自應診","姚佐穎","中西藥業  ","姚佐穎  ","https://mhdb.mh.sinica.edu.tw/newsp/image.php?kind=%E7%A4%BE%E6%9C%83%E6%97%A5%E5%A0%B1&listNo=583965"
"社會日報","1940-09-15","4","583960","專治花柳生殖泌尿科","克倫醫院","中西藥業  ","克倫醫院  ","https://mhdb.mh.sinica.edu.tw/newsp/image.php?kind=%E7%A4%BE%E6%9C%83%E6%97%A5%E5%A0%B1&listNo=583960"
"蘇州新報","1940-09-15","01","967927","皮膚花柳科專門鍾介之醫師",,,,"https://mhdb.mh.sinica.edu.tw/newsp/image.php?kind=%E8%98%87%E5%B7%9E%E6%96%B0%E5%A0%B1&listNo=967927"
"蘇州新報","1940-09-15","04","967981","塩野牌五淋拿根藥品廣告",,,,"https://mhdb.mh.sinica.edu.tw/newsp/image.php?kind=%E8%98%87%E5%B7%9E%E6%96%B0%E5%A0%B1&listNo=967981"
"蘇州新報","1940-09-15","04","967980","猛力打淋淋病藥品廣告",,,,"https://mhdb.mh.sinica.edu.tw/newsp/image.php?kind=%E8%98%87%E5%B7%9E%E6%96%B0%E5%A0%B1&listNo=967980"
"蘇州新報","1940-09-15","02","967959","感謝採芝堂大藥房靈藥治癒白濁梅毒",,,,"https://mhdb.mh.sinica.edu.tw/newsp/image.php?kind=%E8%98%87%E5%B7%9E%E6%96%B0%E5%A0%B1&listNo=967959"
"社會日報","1940-09-16","2/3","583995","男用：專治男子白濁　女用：專治女子白帶","新星藥行","中西藥業  ","新樂的能  ","https://mhdb.mh.sinica.edu.tw/newsp/image.php?kind=%E7%A4%BE%E6%9C%83%E6%97%A5%E5%A0%B1&listNo=583995"
"社會日報","1940-09-16","2/3","583991","白濁專家醫師姚佐穎親自應診","姚佐穎","中西藥業  ","姚佐穎  ","https://mhdb.mh.sinica.edu.tw/newsp/image.php?kind=%E7%A4%BE%E6%9C%83%E6%97%A5%E5%A0%B1&listNo=583991"
"社會日報","1940-09-16","4","583989","砒製梅毒特效藥","信誼化學製藥廠","中西藥業  ","新惜花散  ","https://mhdb.mh.sinica.edu.tw/newsp/image.php?kind=%E7%A4%BE%E6%9C%83%E6%97%A5%E5%A0%B1&listNo=583989"
"社會日報","1940-09-16","4","583986","專治花柳生殖泌尿科","克倫醫院","中西藥業  ","克倫醫院  ","https://mhdb.mh.sinica.edu.tw/newsp/image.php?kind=%E7%A4%BE%E6%9C%83%E6%97%A5%E5%A0%B1&listNo=583986"
"社會日報","1940-09-16","4","584000","馳名全球　白濁專藥","德國戚爾鄧大藥房、上海柯爾登洋行","中西藥業  ","梅濁剋星  ","https://mhdb.mh.sinica.edu.tw/newsp/image.php?kind=%E7%A4%BE%E6%9C%83%E6%97%A5%E5%A0%B1&listNo=584000"
"蘇州新報","1940-09-16","06","968119","濕毒丹疥瘡藥品廣告",,,,"https://mhdb.mh.sinica.edu.tw/newsp/image.php?kind=%E8%98%87%E5%B7%9E%E6%96%B0%E5%A0%B1&listNo=968119"
"蘇州新報","1940-09-16","06","968121","感謝採芝堂大藥房靈藥治癒白濁梅毒",,,,"https://mhdb.mh.sinica.edu.tw/newsp/image.php?kind=%E8%98%87%E5%B7%9E%E6%96%B0%E5%A0%B1&listNo=968121"
"社會日報","1940-09-17","4","584007","專治花柳生殖泌尿科","克倫醫院","中西藥業  ","克倫醫院  ","https://mhdb.mh.sinica.edu.tw/newsp/image.php?kind=%E7%A4%BE%E6%9C%83%E6%97%A5%E5%A0%B1&listNo=584007"
"社會日報","1940-09-17","2/3","584012","白濁專家醫師姚佐穎親自應診","姚佐穎","中西藥業  ","姚佐穎  ","https://mhdb.mh.sinica.edu.tw/newsp/image.php?kind=%E7%A4%BE%E6%9C%83%E6%97%A5%E5%A0%B1&listNo=584012"
"社會日報","1940-09-17","2/3","584018","男用：專治男子白濁　女用：專治女子白帶","新星藥行","中西藥業  ","新樂的能  ","https://mhdb.mh.sinica.edu.tw/newsp/image.php?kind=%E7%A4%BE%E6%9C%83%E6%97%A5%E5%A0%B1&listNo=584018"
"社會日報","1940-09-17","4","584022","馳名全球　白濁專藥","德國戚爾鄧大藥房、上海柯爾登洋行","中西藥業  ","梅濁剋星  ","https://mhdb.mh.sinica.edu.tw/newsp/image.php?kind=%E7%A4%BE%E6%9C%83%E6%97%A5%E5%A0%B1&listNo=584022"
"蘇州新報","1940-09-17","06","968278","國藥淋濁丸--羣濟大藥社發行",,,,"https://mhdb.mh.sinica.edu.tw/newsp/image.php?kind=%E8%98%87%E5%B7%9E%E6%96%B0%E5%A0%B1&listNo=968278"
"蘇州新報","1940-09-17","02","968186","感謝採芝堂大藥房靈藥治癒白濁梅毒",,,,"https://mhdb.mh.sinica.edu.tw/newsp/image.php?kind=%E8%98%87%E5%B7%9E%E6%96%B0%E5%A0%B1&listNo=968186"
"蘇州新報","1940-09-17","06","968282","補虛白帶丸藥品廣告",,,,"https://mhdb.mh.sinica.edu.tw/newsp/image.php?kind=%E8%98%87%E5%B7%9E%E6%96%B0%E5%A0%B1&listNo=968282"
"蘇州新報","1940-09-17","02","968187","皮膚花柳科專門鍾介之醫師",,,,"https://mhdb.mh.sinica.edu.tw/newsp/image.php?kind=%E8%98%87%E5%B7%9E%E6%96%B0%E5%A0%B1&listNo=968187"
"蘇州新報","1940-09-17","06","968284","感謝採芝堂大藥房靈藥治癒白濁梅毒",,,,"https://mhdb.mh.sinica.edu.tw/newsp/image.php?kind=%E8%98%87%E5%B7%9E%E6%96%B0%E5%A0%B1&listNo=968284"
